	X1	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X30	X31	X32	X33	X34	X35	X36	X37	X38	X39	X40	X41	X42	X43	X44	X45	X46	X47	X48	X49	X50	X51	X53	X54	X55	X57	X58	X59	X60	X61	X62	X63	X64	X65	X66	X67	X68	X69	X70	X71	X72	X73	X74	X101	X102	X103	X104	X105	X106	X107	X108	X109	X110	X111	X112	X113	X114	X115	X116	X117	X118	X119	X120	X122	X123	X124	X125	X126	X127	X128	X129	X130	X131	X132	X133	X134	X135	X136	X137	X138	X139	X140	X141	X142	X143	X144	X145	X146	X147	X148	X149	X150	X151	X152	X153	X154	X155	X156	X157	X158	X159	X160	X161	X162	X163	X164	X165	X166	X167	X168	X169	X170	X171	X172	X173	X174	X175	X176	X177	X178	X179	X180	X182	X183	X184	X185	X186	X187	X188	X189	X190	X191	X192	X193
GB112L	A	A	B	A	A	B	B	B	B	B	A	B	A	A	B	A	B	A	A	A	B	B	A	B	B	A	B	A	B	A	A	B	A	A	B	A	A	A	B	A	A	B	B	A	A	A	A	A	A	A	B	B	A	A	A	B	B	B	B	A	B	A	B	B	A	B	B	A	A	A	A	A	A	A	A	A	B	B	B	B	B	B	A	A	B	B	A	B	B	A	A	A	A	A	A	B	A	B	B	B	A	A	B	B	B	B	B	A	A	A	B	B	A	B	B	A	A	B	B	A	B	A	A	A	B	B	B	A	A	B	B	B	A	B	A	A	A	A	B	B	B	B	A	B	B	A	B	B	B	B	B	A	B	B	B	B	B	B	B	B	A	B
GD97L	A	A	B	A	A	B	B	B	B	B	B	A	A	A	B	A	B	A	B	A	B	B	A	A	B	A	B	A	B	A	A	B	A	B	B	A	A	A	B	A	A	B	B	A	A	A	A	A	A	A	B	B	A	A	A	B	B	B	B	A	B	A	A	B	A	B	B	A	B	A	A	A	A	A	A	A	B	B	B	B	B	B	A	A	B	B	A	B	A	A	A	B	A	A	A	B	A	B	B	B	A	A	B	A	B	B	A		A	A	B	B	A	B	B	B	A	B	A	A	B	A	A	A	B	A	B	A	A	B	B	B	A	B	B	A	A	B	B	B	B	B	A	B	B	A	B	B	A	B	B	A	B	B	B	B	B	A	B	B	A	A
EG113L115C	A	A	B	A	A	A	B	B	B	B	B	A	A	B	B	A	B	A	B	A	A	B	A	A	A	A	B	A	B	A	A	B	A	B	B	B	A	A	A	A	A	B	B	A	B	A	A	A	A	A	B	B	A	A	A	B	B	B	B	A	B	A	A	B	A	B	B	A	B	A	A	A	A	A	A	A	B	B	B	B	B	B	A	A	B	B	A	B	A	A	A	B	A	A	A	B	A	B	B	B	A	A	B	A	B	B	A	B	A	A	B	B	A	B	B	B	A	B		A	B	A	A	A	B	A	B	A	A	B	B	B	B	B	B	A	A	B	B	B	B	B	A	B	B	A	B	B	A	B	B	A	B	B	B	A	B	A	B	A	A	B
CD89C	A	A	B	A	A	A	B	B	B	A	B	A	A	B	B	A	A	A	B	B	A	B	A	A	B	B	B	A	B	A	A		A	B	B	B	A	A	B	A	A	B	B	A	B	A	A	A	A	A	B	B	A	A	A	B	B	B	B	A	B	A	A	B	A	B	B	A	B	B		A	A	A	A	A	B	A	B	B	B	B	A	A	B	B	A	B	A	A	A	B	A	A	A	B	A	B	B	A	A	A	B	A	B	A	A	B	A	A	B	A	A	B	B	B	A	B	A	A	B	A	A	A	B	A	B	A	A	B	B	B	B	B	A	B	A	B	B	B	B	B	A	B	A	A	B	B	A	B	B	A	B	B	B	A	B	A	B	A	A	B
BF206LCol	A	A	B	A	A	A	B	B	B	A	B	A	A	B	B	A	H	A	B	B	A	B	A	A	B	B	B	A	B	A	A	A	A	B	B	B	A	A	B	A	B	B	A	A	B	A	A	A	A	A	A	B	A	A	A	A	B	B	B	A	A	A	A	B	A	B	A	A	B	B	A	A	B	A	A	A	B	B	B	B	B	B	B	A	B	A	B	B	A	B	A	B	B	A	A	B	A	B	B	A	A	A	B	A	B	A	A	B	A	A	B	A	A	A	B	B	A	B	A	A	B	A	A	A	B	A	B	A	A	B	B	B	A	B	A	B	A	B	B	B	B	B	A	B	A	B	B	B	A	B	B	A	B	B	B	A	B	A	B	A	A	A
CH200C	A	A	B	A	A	A	B	B	B	A	B	A	A	B	B	A	H	A	B	B	A	B	A	A	B	B	A	A	B	A	A	B	A	B	B	B	A	A	B	A	A	B	A	A	B	A	A	A	A	A	A	A	A	A	A	A	B	B	B	B	A	A	A	B	A	B	A	A	B	B	A	A	B	A	B	A	B	B	B	B	B	B	B	A	B	A	B	B	A	B	A	B	B	A	A	B	A	B	B	A	A	A	A	A	B	A	B	A	A	A	A	A	A	A	B	A	A	B	A	A	B	A	A	A	B	A	B	A	A	B	B	B	A	A	A	A	A	B	B	B	B	A	A	B	A	A	B	A	A	B	B	B	B	B	B	A	B	A	B	A	A	A
DF260LCol	A	A	B	A	B	A	B	B	A	A	B	A	A	B	B	A	A	A	B	B	A	B	A	A	B	B	A	A	B	B	A	B	A	B	B	B	A	A	B	A	A	B	A	A	B	A	A	A	A	A	A	A	A	A	A	A	B	A	B	B	A	A	A	B	A	B	A	A	B	B	A	A	B	A	B	A	B	B	B	B	B	B	A	B	B	A	B	B	A	B	A	B	B	A	A	B	A	B	B	A	A	A	A	A	B	A	B	A	A	A	A	A	A	A	B	A	A	B	A	A	A	A	A	A	B	A	B	A	A	B	B	B	A	A	A	A	A	B	B	B	B	A	A	B	A	A	A	A	A	A	B	B	B	B	B	A	B	A	B	A	A	A
EC88C	A	A	B	A	B	A	B	B	A	A	B	A	A	B	B	A	A	A	B	B	A	B	A	A	B	B	A	A	B	B	A	A	A	B	B	B	A	A	A	A	A	B	A	A	B	A	A	A	A	A	A	A	A	A	A	A	B	A	B	B	A	A	A	B	A	B	A	A	B	B	A	A	B	B	B	A	B	B	B	B	B	B	A	B	B	A	B	B	A	B	B	B	B	A	A	B	A	B	B	A	A	A	A	A	B	A	B	A	A	A	A	A	A	A	B	A	A	B	A	A	A	A	A	A	B	A	B	A	A	B	B	B	A	B	A	A	A	B	B	B	B	A	A	B	A	A	A	A	A	A	B	B	A	B	B	A	B	A	B	A	A	A
GD160C	A	A	B	A	B	A	B	B	A	A	B	A	A	B	A	A	A	A	B	B	A	A	A	A	B	B	A	A	B	B	A	A	A	B	A	B	A	A	A	A	A	B	A	A	B	A	A	A	B	A	A	A	B	A	A	A	B	A	A	B	A	A	A	B	A	B	A	A	B	A	A	A	B	B	B	A	B	B	B	B	B	B	A	B	B	A	B	B	A	B	B	B	A	A	A	B	A	B	B	A	A	A	A	A	B	A	B	A	A	A	A	A	A	A	B	A	A	B	A	A	A	A	A	A	B	A	B	A	A	B	B	B	A	B	A	A	A	B	A	B	B	B	A	B	A	A	A	A	A	A	A	B	A	B	B	A	B	A	A	A	A	A
CH215L	A	B	B	B	B	A	B	B	A	B	B	A	A	B	A	A	A	A	A	B	A	A	A	A	B	B	A	A	B	B	A	A	A	B	A	B	B	A	A	B	A	B	A	A	B	A	A	A	B	A	A	A	B	A	A	A	B	A	A	B	A	A	A	B	A	B	A	A	B	A	A	A	B	B	B	A	B	A	B	B	B	B	A	B	B	A	B	B	B	B	B	B	A	A	A	B	B	B	B	A	A	A	A	A	A	A	B	A	B	A	A	A	A	A	B	A	A	A	A	A	A	A	A	A	B	B	B	B	A	B	A	B	A	A	A	A	A	B	A	A	B	A	A	B	B	A	A	A	A	A	A	B	A	B	B	A	B	A	A	A	A	A
BF116C	A	B	B	B	B	B	B	B	A	B	B	A	A	B	A	A	A	A	A	B	B	A	A	A	B	B	A	A	B	B	A	B	A	B	A	B	B	A	A	B	A	B	A	B	B	A	B	A	B	A	A	A	B	A	A	A	B	A	A	B	A	A	A	B	A	B	A	A	B	A	A	A	A	B	A	A	B	B	B	B	B	B	A	B	B	A	B	B	B	B	B	B	A	A	A	A	A	A	B	A	B	A	A	A	A	B	B	A	B	B	A	A	A	B	B	A	B	A	A	A	A	A	A	A	B	B	B	A	A	B	A	B	A	A	A	A	A	B	A	A	B	A	A	B	B	B	A	A	A	A	B	A	A	B	B	A	B	A	A	A	A	A
GH157LCol	A	B	B	B	B	B	B	B	A	B	B	A	A	B	A	A	A	A	A	B	B	B	A	A	B	B	A	B	B	B	A	B	A	B	A	B	B	A	B	B	A	B	A	B	B	B	B	B	B	A	A	A	B	A	A	A	B	A	A	B	A	A	A	B	A	B	A	B	B	A	A	A	A	B	B	A	B	B		B	B	B	A	B	B	A	B	B	B	B	A	B	A	A	A	A	A	A	B	B	B	A	A	A	A	B	B	A	B	B	A	A	A	B	B	A	B	A	A	A	A	A	A	A	B	B	B	A	A	B	A	B	A	A	A	A	A	B	A	A	B	A	A	B	B	B	A	A	A	A	B	A	A	B	B	A	B	A	A	A	A	A
CC318C	B	B	B		B	B	B	B	A	B	B	A	A	B	A	A	A	A	A	B	B	B	A	A	A	B	B	B	A	B	A	B	A	B	A	B	B	A	B	B	A	B	A	B	B	B	B	B	B	B	B	A	B	A	A	A	B	A	B	B	A	A	B	B	B	B	A	B	B	B	A	A	B	B	B	A	B	B	B	B	B	B	A	B	B	B	B	B	B	B	A	B	A	A	A	A	B	A	B	B	B	B	A	A	A	B	B	A	B	B	A	A	A	B	B	A	B	A	A	A	A	B	A	A	B	B	B	A	A	B	B	B	A	A	A	A	A	B	A	B	B	A	A	B	B	B	B	A	A	A	B	B	A	B	B	A	B	A	A	A	B	A
CD173L175CCol	B	B	B	B	B	B	B	B	A	B	B	B	B	B	A	A	A	A	A	B	B	B	B	A	B	B	B	B	A	B	A	B	A	B	A	B	B	A	B	B	A	B	A	B	B	B	B	B	B	B	B	A	A	A	B	A	B	A	B	B	A	A	B	B	B	B	A	B	B	B	A	A	B	B	B	A	B	B	B	B	B	B	B	B	B	B	B	B	B	B	A	B	A	A	A	A	B	A	B	B	B	B	A	A	A	B	B	A	B	B	A	A	A	B	B	H	B	A	A	A	A	B	A	A	B	B	B	A	A	B	B	B	A	A	A	A	A	B	A	B	B	A	A	B	B	B	B	B	A	A	B	B	B	B	B	B	B	A	A	A	A	A
FD90LCol	B	B	B	B	B	B	B	B	A	B	B	B	B	B	A	A	B	A	A	B	B	B	B	A	B	B	B	B	A	B	A	B	A	B	A	B	B	A	B	A	A	B	B	B	B	B	B	A	B	B	A	A	A	A	B	A	B	A	B	B	A	A	B	B	B	B	A	A	B	B	A	A	A	B	B	A	B	B	B	B	B	B	B	B	B	B	B	B	B	B	A	B	A	A	A	A	B	A	B	B	B	B	A	A	A	B	B	A	B	B	A	A	A	B	B	H	B	A	A	A	A	B	A	A	B	B	B	A	A	B	A	B	A	A	A	A	A	B	A	B	B	A	A	B	B	B	B	B	A	A	B	B	B	B	B	B	B	A	A	A	A	A
GH127LCol	B	B	B	A	B	B	B	B	A	B	B	B	B	B	A	A	B	A	A	B	B	B	B	A	B	A	B	B	A	B	A	B	A	B	A	A	B	A	B	A	A	B	B	B	A	B	B	A	B	B	A	A	A	A	B	A	B	A	B	B	A	A	B	B	B	B	A	A	B	B	A	A	A	B	B	A	B	B		B	B	B	B	B	B	B	B	A	B	B	A	A	A	A	A	A	B	A	B	B	B	B	A	A	A	B	B	A	B	B	A	A	B	B	B	H	B	A	A	A	A	B	A	A	B	B	B	A	A	B	A	B	A	A	A	A	A	B	A	B	B	A	A	B	B	B	B	B	A	A	B	B	B	A	B	A	B	A	A	A	A	B
HH360LCol	B	B	B	A	B	B	B	B	A	B	B	B	A	A	A	A	A	A	A	B	B	B	B	A	B	A	B	B	A	B	A	B	A	B	A	A	B	A	B	A	A	B	A	B	B	B	B	A	B	B	A	A	A	A	B	A	B	B	B	A	A	A	B	B	B	B	A	A	B	B	A	A	A	B	B	A	B	B	B	B	B	B	A	B	B	B	B	A	B	B	A	A	A	A	A	A	B	A	B	B	B	B	B	A	A	B	B	A	B	B	A	A	B	B	B	H	B	A	A	A	B	B	A	A	B	B	B	A	A	B	A	A	B	A	A	A	A	B	A	B	B	A	A	B	A	B	A	B	A	A	A	B	B	A	B	A	B	A	A	A	B	B
AD156C	A	B	A	A	A	B	A	B	B	A	A	B	A	A	B	B	B	A	A	A	A	A	B	B	B	A	B	A	A	B	B	B	A	B	B	A	A	B	A	A	B	B	A	B	A	B	A	B	B	A	A	A	A	A	A	A	B	B	A	B	B	B	A	B	B	B	A	A	B	B	A	A	A	B	B	B	B	A	B	A	B	A	B	B	A	A	B	A	A	A	B	A	A	B	A	B	A	B	B	B	A	B	B	A	B	B	B	B	B	B	A	B	B	B	A	B	B		A	A	A	A	A	B	B	A	A	A	B	A	B	A	B	B	A	B	A	A	A	B	A	B	A	B	A	A	B	A	A	B	B	B	B	B	A	B	A	B	A	A	A	A
BF325L	A	B	A	A	A	B	A	B	B	A	A	B	B	B	A	B	A	A	A	A	A	A	B	B	A	A	B	B	A	B	B	B	A	B	B	A	A	B	A	A	B	B	A	B	A	B	A	B	B	A	A	B	B	A	B	A	B	B	A	B	B	B	A	B	B	B	A	A	B	B	A	A	A	B	B	B	B	A	B	A	B	A	B	B	A	A	B	A	A	A	A	A	A	B	A	B	A	B	B	B	B	A	B	A	A	B	B	B	A	B	A	B	B	B	A	B	B	A	A	A	A	B	A	A	B	A	A	A	B	A	B	A	B	B	A	B	A	A	A	A	A	B	A	B	B	A	B	B	A	B	B	B	B	B	A	B	B	B	A	A	A	A
GH580L	B	B	A	A	A	B	A	A	B	A	A	B	A	B	A	B	A	A	A	A	A	A	B	B	A	A	B	B	A	B	B	B	A	B	B	A	A	B	A	B	B	B	B	B	A	B	A	B	B	A	A	B	B	B	B	A	B	B	A	A	A	B	A	A	B	B	A	B	B	B	A	A	A	B	B	B	B	A		A	B	A	B	B	A	A	B	A	A	A	A	A	A	A	A	B	A	B	B	B	B	A	B	A	A	B	B	B	A	B	B	B	B	B	A	B	A	A	A	A	A	B	A	A	B	A	A	A	B	A	B	A	B	B	A	B	A	A	A	A	B	B	B	B	B	A	B	A	A	B	B	B	B	B	B	B	A	A	A	A	A	A
GD145C	B	B	A	A	A	B	A	A	B	A	A	B	A	B	A	B	A	A	A	A	A	A	B	B	A	A	A	B	A	B	B	A	A	B	B	A	A	B	A	B	B	B	A	B	A	B	A	B	A	A	A	B	B	B	B	A	B	B	A	A	A	B	A	A	B	B	A	B	B	B	A	A	A	B	B	B	B	A	B	A	B	A	B	B	A	A	B	A	B	A	A	A	A	A	A	B	A	B	B	B	B	A	B	A	A	B	B	B	A	B	B	B	B	B	A	B	A	A	A	A	A	B	A	A	B	A	A	A	B	A	B	B	A	B	A	B	A	A	A	B	B	B	B	B	B	A	B	A	A	B	B	A	B	B	B	B	A	A	A	A	A	A
FD81L	B	B	A	A	A	B	A	A	B	A	A	A	B	B	A	B	A	A	A	A	A	A	B	B	A	A	A	B	A	B	B	A	A	B	B	A	A	B	A	B	B	B	B	B	A	B	B	B	A	A	A	B	B	B	B	B	B	B	A	A	A	B	A	A	B	B	A	B	B	B	A	A	A	B	B	B	B	A	B	A	B	B	B	B	A	A	B	A	B	A	A	A	A	A	A	B	A	B	B	A	B	A	B	A	A	B	B	B	A	B	B	B	B	B	A	B	A	A	A	A	A	B	A	A	B	A	A	A	B	A	B	B	A	B	A	B	A	A	A	B	B	B	B	B	B	A	B	A	A	B	B	A	B	B	B	B	A	A	A	A	A	A
CH284C	B	B	A	A	A	B	A	B	B	A	A	A	B	B	B	B	A	A	A	A	A	A	B	B	A	A	A	B	A	B	A	A	A	B	B	A	A	B	A	B	B	B	B	B	A	B	B	B	A	A	A	B	B	B	B	A	B	A	A	A	A	B	A	A	B	B	A	B	B	B	A	A	A	B	B	B	B	A	B	A	A	B	B	B	A	A	B	A	B	A	A	A	A	B	A	B	A	B	B	A	B	A	B	A	A	B	B	B	A	B	B	B	B	B	A	B	A	A	A	A	B	B	A	A	B	A	A	A	B	A	B	B	A	A	A	B	A	A	A	B	B	B	B	B	B	A	B	A	A	B	A	A	B	A	B	B	A	A	A	A	B	A
FD222LCol	B	B	A	A	A	B	A	B	B	A	A	A	B	B	B	B	A	A	B	A	A	A	B	B	A	A	A	A	A	B	A	A	A	B	A	A	B	B	A	B	B	B	B	B	A	B	B	B	A	A	A	B	B	A	B	A	B	A	A	A	A	A	A	B	B	B	A	B	B	B	A	A	A	B	B	B	B	A	B	A	B	B	B	A	A	A	B	A	B	A	A	A	A	B	A	B	A	B	B	A	B	A	B	A	A	B	B	A	A	B	B	B	B	B	A	A	A	A	A	A	B	B	A	A	B	A	A	A	B	A	B	B	A	A	A	B	A	A	A	B	A	B	B	B	B	A	B	A	A	B	A	A	B	A	B	B	A	A	B	A	B	A
CH65C	B	B	A	A	A	B	A	A	B	A	A	A	A	B	B	B	A	A	B	A	A	A	B	B	A	A	A	A	A	B	A	A	A	A	A	A	B	B	A	B	B	B	B	B	A	B	B	B	A	A	A	B	B	A	B	A	B	A	A	A	A	A	A	A	B	B	A	B	B	B	A	A	B	B	A	B	B	B	B	A	B	B	A	A	A	A	B	A	B	A	A	A	A	B	A	B	A	B	B	A	B	A	B	A	A	B	B	A	A	B	B	B	B	B	A	A	A	A	A	A	B	B	A	A	B	A	B	A	B	A	B	A	A	A	A	B	A	A	A	A	A	B	B	B	B	A	B	A	A	A	A	A	B	B	B	B	A	A	B	A	B	A
BF221L	B	B	A	A	A	B	A	A	B	A	B	A	A	B	B	B	A	A	B	A	A	A	B	B	A	A	A	A	A	B	A	B	A	A	A	A	B	B	A	B	B	B	B	B	A	B	B	B	A	A	A	B	B	A	B	A	A	A	A	A	A	A	A	A	A	B	A	B	B	B	A	A	B	B	A	B	B	B	B	A	B	B	A	A	A	B	B	A	A	A	A	A	A	A	B	B	A	B	B	A	B	A	B	A	A	B	B	A	B	B	B	B	B	B	A	A	A	A	A	A	B	B	A	A	B	A	B	A	B	A	B	A	B	B	A	B	A	A	A	A	A	B	B	A	B	A	B	A	A	A	A	A	B	B	B	B	A	A	B	A	B	A
FD85C	B	B	A	A	A	B	A	A	B	A	B	A	A	B	B	B	A	A	B	A	A	A	B	B	A	A	A	A	A	B	A	B	A	A	A	A	B	B	A	B	B	B	B	B	A	B	B	B	B	A	A	B	B	A	A	A	A	A	A	A	A	A	A	A	A	B	A	B	B	B	A	A	B	B	A	B	B	B	B	A	B	B	A	A	A	A	B	A	A	A	A	A	A	A	B	B	B	B	B	A	B	A	A	A	A	A	B	A	B	B	B	A	B	B	A	A	A	A	A	B	B	B	A	B	A	A	B	A	B	A	B	A	B	B	A	B	A	B	A	A	A	B	B	A	B	A	B	A	A	A	A	A	B	B	B	A	A	A	B	A	B	A
FD150C	B	A	A	A	A	B	A	A	A	A	B	A	A	B	B	B	A	A	B	A	A	A	B	B	A	A	A	A	A	B	A	B	A	A	A	B	B	B	A	B	A	B	B	B	A	B	B	B	B	A	A	B	B	A	A	A	B	A	B	A	B	A	A	A	A	B	A	B	B	B	A	A	B	B	A	B	B	B	A	A	B	B	A	A	B	A	B	A	A	A	A	A	B	A	B	B	B	B	B	B	B	A	A	A	A	A	B	A	B	B	B	A	B	B	A	A	A	A	A	B	B	B	A	B	A	A	B	A	B	A	B	A	A	B	A	B	A	B	A	A	A	B	B	A	B	A	B	A	A	A	B	A	A	A	B	A	A	A	B	A	B	A
