	X1	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X30	X31	X32	X33	X34	X35	X36	X37	X38	X39	X40	X41	X42	X43	X44	X45	X46	X47	X48	X49	X50	X51	X53	X54	X55	X57	X58	X59	X60	X61	X62	X63	X64	X65	X66	X67	X68	X69	X70	X71	X72	X73	X74	X101	X102	X103	X104	X105	X106	X107	X108	X109	X110	X111	X112	X113	X114	X115	X116	X117	X118	X119	X120	X122	X123	X124	X125	X126	X127	X128	X129	X130	X131	X132	X133	X134	X135	X136	X137	X138	X139	X140	X141	X142	X143	X144	X145	X146	X147	X148	X149	X150	X151	X152	X153	X154	X155	X156	X157	X158	X159	X160	X161	X162	X163	X164	X165	X166	X167	X168	X169	X170	X171	X172	X173	X174	X175	X176	X177	X178	X179	X180	X182	X183	X184	X185	X186	X187	X188	X189	X190	X191	X192	X193
Propenyl		12	12	13	11	28	10	17	19	10	13	23	7	7	18	23	6	13	11	9	19	9	16	18	10	6	26	18	17	5	10	24	15	14	20	18	11	24	7	19	16	17	14	18	17	25	23	18	15	12	24	16	9	25	10	19	5	8	11	27	21	22	25	9	6	19	24	26	9	11	17	18	25	19	18	8	14	12	9	10	13	7	24	16	9	6	13	10	6	10	9	18	20	25	25	23	5	10	8	4	14	6	19	25	8	25	13	22	19	18	12	6	23	6	10	12	23	16	18	9	19	16	22	24	8	18	21	11	22	11	23	17	23	4	15	23	16	7	20	19	16	8	16	13	10	17	9	16	23	8	11	9	24			9		4	12	22	19	13
Benzoyloxypropyl		28015	29825	31780	27387	34395	26439	32966	33283	30272	31246	34174	28351	24878	31356	34046	25269	31230	30953	27849	33477	28252	32923	33471	28114	18800	34336	32467	32759	22381	30687	34024	33252	30768	33689	33359	29568	34105	23769	33301	32799	32969	31168	33490	33254	34140	33655	32790	31856	28407	34224	32598	28561	34199	30063	33490	20856	32464	29640	34079	33815	34026	34230	30030	22395	32852	33911	34313	28878	29807	32136	33294	34313	33585	33411	27512	31668	31269	26604	29778	31159	27627	34149	32171	27037	25664	30925	27439	23729	25983	29330	33231	33725	34251	34091	33785	16101	27503	29206	6227	32340	23396	33335	34327	30130	34376	31377	34106	32973	33835	30566	25103	34008	20894	31578	29054	33996	32720	33189	28776	33388	32372	33891	33915	26185	33731	33811	30789	34375	27204	34152	32523	34057	4796	32963	34029	34233	25906	33784	33140	33454	24070	32683	30098	30270	32739	28323	32292	34054	26505	31574	27942	34136			26156		20421	31115	33180	33585	31861
Methylthiohexyl		4	4	64	7	4	4	4	4	12	4	4	23	12	4	4	4	40	4	10	4	99	125	4	4	4	4	14	4	84	19	4	4	4	4	4	140	4	4	28	4	4	42	4	86	4	4	101	4	4	8	4	17	4	25	4	8	4	79	4	4	4	4	60	11	4	4	5	33	27	4	4	4	4	4	14	6	4	299	4	4	117	4	37	171	7	43	195	47	18	11	11	4	4	4	4	7	20	117	4	6	7	4	5	37	4	489	4	4	4	123	9	7	69	4	4	4	4	4	135	4	4	4	4	4	4	4	12	7	57	10	4	4	44	4	4	4	178	4	4	4	14	4	56	4	4	9	39	4	25	180	16	4			4		4	4	4	4	4
Methylsulfinylhexyl		62	112	878	372	200	142	160	155	519	242	138	562	442	122	229	310	757	97	524	100	902	1075	167	142	396	193	505	359	847	583	386	109	122	176	273	967	134	285	764	178	311	818	245	962	179	238	1051	255	191	357	156	626	357	634	129	401	88	952	225	206	236	298	890	465	326	124	374	689	668	124	108	282	187	233	578	508	227	1253	83	293	1031	179	723	1178	418	788	1102	735	516	504	516	386	223	340	214	342	516	1065	327	384	418	86	370	789	227	1442	263	119	111	1029	464	294	755	144	247	262	159	104	1069	167	202	134	153	253	189	347	562	336	706	482	97	240	706	77	250	248	1113	184	89	175	484	84	669	141	122	498	802	160	664	1128	580	251			279		196	163	151	120	85
Benzoyloxybutyl		9	23	1939	4820	17	1277	31	61	1764	12	9	997	557	30	19	4691	689	6	703	81	4094	1251	36	11	621	14	1967	9	7467	6700	19	37	34	12	33	130	14	371	15	16	13	667	33	1080	42	58	1169	31	4139	17	41	1730	60	2571	86	1303	12	892	37	48	83	20	857	1365	13	53	19	1513	1111	53	55	14	22	40	1306	21	30	788	36	13	445	17	2102	5521	1779	278	2753	95	1697	455	41	18	36	20	12	1182	2417	503	521	17	1212	47	19	1073	43	589	16	23	32	603	5702	20	905	14	660	43	5	67	446	54	9	23	13	878	25	17	5256	17	1170	23	42	12	368	58	11	10	198	38	47	25	507	37	708	9	48	5829	852	26	332	2112	6919	54			1762		288	29	12	53	35
Methylthioheptyl		448	3633	17708	12264	5275	1122	4973	8991	20666	5014	2204	10114	14798	4373	4515	14294	13763	1080	14603	2895	28500	25164	6769	1740	14699	4816	16788	12581	25030	21885	18605	2803	4191	2500	17859	20012	1320	2179	25451	1950	9767	14807	10443	23755	5539	11348	29050	10959	4655	15854	8257	22317	18828	20894	4254	13099	382	21284	9361	7911	8298	12111	26598	17619	9183	3111	19040	12875	26688	3938	2389	10611	6550	10340	26285	21741	13381	26923	2931	7709	19059	3413	24282	30747	14654	18478	30723	13986	16766	7158	25705	15983	4753	13244	5641	11501	14183	24682	15458	16617	12572	1445	14651	13056	8984	27895	7210	2795	3110	22245	15507	10756	22638	1762	1947	15097	3118	4748	23198	5343	6994	1897	3195	11263	10453	18676	22148	13052	22467	22113	3573	6540	10867	2156	7174	7606	26738	7451	2410	6268	5636	2187	12199	1548	4337	22017	16200	2493	11093	27255	22132	14135			11292		710	13824	1804	4947	2674
Benzoyloxypentyl		5	16	165	304	7	203	15	45	333	4	4	74	298	42	4	227	91	4	241	36	1479	214	49	4	123	12	418	4	285	828	6	27	18	5	27	66	5	38	4	5	4	110	30	126	35	26	439	14	292	15	41	402	63	551	26	334	4	155	37	26	40	12	158	311	4	28	6	156	430	30	35	5	19	8	1405	16	15	167	22	4	91	4	479	875	521	46	635	24	370	88	40	10	7	7	4	373	693	92	177	33	205	30	11	101	50	158	11	11	26	97	827	6	361	4	56	36	4	40	127	22	4	4	4	306	27	4	1076	7	515	13	20	4	250	21	5	18	61	35	29	17	127	32	70	4	30	623	84	5	36	304	483	39			166		38	72	4	42	35
Benzoyloxyhexyl		4	7	4	111	4	4	6	20	178	4	4	4	80	20	4	71	4	4	42	20	273	7	25	4	139	4	189	4	134	93	4	19	9	4	16	4	4	4	4	4	4	4	10	6	13	13	220	4	4	4	23	31	31	55	14	120	4	4	12	10	14	4	49	71	4	25	4	4	186	22	26	4	5	4	379	4	6	4	12	4	4	4	61	193	4	4	88	4	70	4	19	4	4	4	4	61	113	4	263	13	155	20	4	4	26	4	4	6	9	4	248	4	89	4	4	22	4	38	4	17	4	4	4	108	14	4	174	4	38	4	11	4	4	11	4	4	4	4	18	9	4	10	4	4	23	176	4	4	4	4	64	19			75		4	59	4	37	16
Quercetindeoxyhexosyldihexoside		1159	4	3556	4	1902	4	4	1163	1987	210	2632	2200	136	4	2127	2347	2624	4	4	2062	3331	2225	1135	4	4	2027	2952	6	4	2054	2935	1491	4	1817	6	1755	1929	2505	2738	1419	4	1584	1623	6	1958	2690	2086	4	1907	1435	1442	4	1721	2848	1513	4	745	2979	4	2339	2053	2439	4	1313	4	1415	1720	4	2119	1049	1508	4	4	4	2132	4	4	4	4	4	4	3192	4	4	1221	4	4	1205	4	4	4	1480	1276	2021	4	1402	4	4	1113	953	2025	2078	2042	4	2025	4	1421	1742	1186	2419	1377	1510	1791	4	1256	3018	4	1308	2173	1426	829	2066	1510	5	1672	4	787	2671	4	4	4	1115	1183	978	1221	1220	4	5	4	4	1246	844	4	1082	1452	2869	2218	1723	2074	2462	6	2073			1136		1459	1631	1263	784	740
Kaempferoldideoxyhexosyldihexoside		318	5	1776	8	1697	6	6	1158	2148	279	1102	1603	97	5	1507	3578	1550	5	7	1668	2548	1891	927	5	6	1128	1694	6	4	1486	1252	1064	5	1570	6	464	1496	1469	2417	1436	6	1970	1394	6	1593	2663	1636	5	1278	1269	1659	4	1293	1643	1273	4	704	2260	7	2022	796	1469	6	720	6	1232	1323	6	1851	1453	725	6	7	5	1491	6	6	6	5	6	5	1202	5	6	842	5	5	693	7	4	6	1961	503	978	5	2101	6	5	1780	420	1029	915	2183	7	589	7	1317	982	1273	2026	1389	915	1140	6	1014	721	5	1227	2379	853	381	1240	1235	6	1625	6	1420	1825	5	5	8	948	1505	887	427	593	6	5	6	5	1364	1931	5	1130	1168	4693	1764	2018	1529	1783	5	839			776		1936	1970	1452	1627	389
Quercetindeoxyhexosylhexoside		551	2422	633	3825	599	2854	2790	446	681	2418	903	802	1417	1841	673	635	648	2682	3856	612	790	337	513	3257	3670	415	821	3057	2110	755	1215	430	4158	1153	2137	575	759	998	528	506	3181	577	463	4792	474	1192	514	2774	710	476	528	2819	463	617	481	2231	248	819	3578	785	690	1140	4826	582	3634	904	613	4561	901	385	453	1521	3572	4028	736	3260	4026	3961	4397	4072	2806	900	2654	4080	526	3641	3647	673	4400	2963	3557	407	627	714	3019	400	2770	2337	424	366	654	892	519	3310	999	4825	471	666	502	782	532	398	393	4096	436	1402	3642	550	966	809	251	545	613	3246	492	2521	400	611	1987	3708	5523	416	377	466	519	637	3569	2504	6760	3181	597	258	2950	384	742	491	1164	577	780	704	4066	861			523		479	360	417	293	259
Isohamnetindeoxyhesoxyldihexoside		132	4	140	4	178	4	4	112	112	26	242	115	9	4	190	168	190	4	4	135	260	114	75	4	4	152	122	5	4	124	205	141	4	109	4	91	166	170	239	99	4	95	164	4	198	186	95	11	111	103	94	4	169	215	133	4	77	160	4	170	239	192	4	65	4	107	125	4	83	84	161	4	4	4	116	4	4	4	4	4	4	240	4	4	68	5	4	52	10	4	4	108	117	186	4	77	4	4	59	67	86	141	175	4	175	4	119	119	73	180	74	145	95	4	73	206	4	111	106	106	95	214	125	4	167	4	75	199	5	4	4	128	54	93	145	83	4	4	4	4	102	90	4	96	129	122	133	145	157	145	4	231			68		103	116	113	55	74
Isohamnetindeoxyhesoxylhexoside		108	293	90	436	125	168	293	117	85	331	232	130	106	206	140	138	174	353	234	89	204	63	92	334	232	101	104	388	127	153	212	86	541	156	183	80	155	183	154	102	237	106	87	340	134	214	77	287	92	98	85	184	122	129	104	166	56	134	404	136	180	199	431	69	432	164	108	332	102	94	141	218	434	316	114	371	332	300	380	460	304	186	302	326	66	264	301	63	396	277	294	80	156	193	287	53	230	199	42	46	71	136	120	439	199	491	119	98	70	174	80	110	50	526	58	194	467	106	164	115	63	157	117	190	135	196	92	148	183	371	538	118	53	87	150	120	429	222	619	419	134	81	329	79	212	97	151	135	190	137	429	245			74		100	81	104	53	63
Kaempferoldideoxyhexosylhexoside		4	154	18	296	5	249	161	8	18	168	24	13	88	381	25	10	11	234	198	11	5	5	5	169	268	4	4	214	186	25	6	4	219	24	239	9	8	4	6	5	254	9	5	250	10	16	11	245	14	4	4	5	17	6	9	151	7	12	154	15	26	10	231	17	161	22	4	302	9	26	6	127	303	188	18	192	373	251	245	275	172	6	178	337	12	395	227	10	251	182	240	5	22	15	191	9	388	219	8	4	6	23	6	161	9	375	4	5	4	17	6	6	5	188	13	14	85	7	20	16	6	7	4	246	9	244	4	4	159	312	241	4	12	6	8	4	178	219	198	204	18	14	144	4	5	9	20	9	11	4	245	16			17		10	4	4	4	10
