identifier,defaultValue,description,dataType,hasOne_identifier
compressedFastqFilepathPE2,${allRawNgsDataDir}/${runPrefix}/${fastqFilenamePE2}${gzipExtension},use these for multiplexed files,string,
compressedFastqFilepathSR,${allRawNgsDataDir}/${runPrefix}/${fastqFilenameSR}${gzipExtension},use these for multiplexed files,string,
contact,,,,
cores,1,,,
coveragegatk,${sample}.coveragegatk,(CoverageGATK),,
coveragescript,${tooldir}/coverage_26jan2011/coverage.sh,(Coverage),,
createsnptablescript,${createsnptablescriptpath}/createSNPTable.sh,,,
createsnptablescriptpath,${tooldir}/scripts/createSNPTable_19mar2012,,,
cumcoveragescriptgatk,${tooldir}/scripts/plot_cumulative_coverage-1.1.R,(CoverageGATK),,
cyclecovariateafter,${recalstatsafterdir}/${lane}.CycleCovariate.dat,,,
cyclecovariatebefore,${recalstatsbeforedir}/${lane}.CycleCovariate.dat,,,
datadir,${root}/groups/in-house,root dir for data,string,
dbsnprod,${resdir}/${genome}/dbsnp/dbsnp_129_b37_${indexfileID}.rod,,,
dbsnpSNPstxt,${annotationPath}/dbSNP132.tabdelim.table,(GenomicAnnotator),,
dbsnpvcf,${annotationPath}/dbsnp_132.b37.vcf,(VariantAnnotator),,
dedupbam,${fileWithIndexID}.dedup.bam,,,
dedupbamindex,${fileWithIndexID}.dedup.bam.bai,,,
dedupmetrics,${fileWithIndexID}.dedup.metrics,,,
defaultInterpreter,#!/bin/bash,,,
demultiplexedDiscardedFastqChecksumFilepathPE1,${runIntermediateDir}${demultiplexedDiscardedFastqFilenamePE1}${md5sumExtension},use these for demultiplexed reads assigned to a sample,,
demultiplexedDiscardedFastqChecksumFilepathPE2,${runIntermediateDir}${demultiplexedDiscardedFastqFilenamePE2}${md5sumExtension},use these for demultiplexed reads assigned to a sample,,
demultiplexedDiscardedFastqChecksumFilepathSR,${runIntermediateDir}${demultiplexedDiscardedFastqFilenameSR}${md5sumExtension},use these for demultiplexed reads assigned to a sample,,
demultiplexedDiscardedFastqFilenamePE1,${filenamePrefix}${filenamePartSeperator}${filenameSuffixDiscardedReads}${filenamePartSeperator}${filenameSuffixPE1}${fastqExtension},use these for demultiplexed reads assigned to a sample,,
demultiplexedDiscardedFastqFilenamePE2,${filenamePrefix}${filenamePartSeperator}${filenameSuffixDiscardedReads}${filenamePartSeperator}${filenameSuffixPE2}${fastqExtension},use these for demultiplexed reads assigned to a sample,,
demultiplexedDiscardedFastqFilenameSR,${filenamePrefix}${filenamePartSeperator}${filenameSuffixDiscardedReads}${fastqExtension},use these for demultiplexed reads assigned to a sample,,
demultiplexedSampleFastqChecksumFilepathPE1,${runIntermediateDir}${demultiplexedSampleFastqFilenamePE1}${md5sumExtension},use these for demultiplexed reads assigned to a sample,,
demultiplexedSampleFastqChecksumFilepathPE2,${runIntermediateDir}${demultiplexedSampleFastqFilenamePE2}${md5sumExtension},use these for demultiplexed reads assigned to a sample,,
demultiplexedSampleFastqChecksumFilepathSR,${runIntermediateDir}${demultiplexedSampleFastqFilenameSR}${md5sumExtension},use these for demultiplexed reads assigned to a sample,,
demultiplexedSampleFastqFilenamePE1,${filenamePrefix}${filenamePartSeperator}${barcode}${filenamePartSeperator}${filenameSuffixPE1}${fastqExtension},use these for demultiplexed reads assigned to a sample,,
demultiplexedSampleFastqFilenamePE2,${filenamePrefix}${filenamePartSeperator}${barcode}${filenamePartSeperator}${filenameSuffixPE2}${fastqExtension},use these for demultiplexed reads assigned to a sample,,
demultiplexedSampleFastqFilenameSR,${filenamePrefix}${filenamePartSeperator}${barcode}${fastqExtension},use these for demultiplexed reads assigned to a sample,,
demultiplexinfodir,${datadir}/demultiplexinfo,directory in which we store logs and discarded reads files,string,
demultiplexscript,${scriptdir}/demultiplex.R.sh,,string,
demultiplexscript,${tooldir}/demultiplex_18oct2011/demultiplex.sh,script for demultiplexing,string,
demultiplexstats,${qcdir}/${fileprefix}.log.txt,QCStatistics,,
demultiplexWorkflowFile,${molgenisComputeDir}/workflows/in-house_workflow_demultiplex.csv,,string,
discardleft,${demultiplexinfodir}/${fileprefix}_DISCARD_1.fq,file that contains 'left ends' of sequences with undected barcodes,string,
discardright,${demultiplexinfodir}/${fileprefix}_DISCARD_2.fq,file that contains 'right ends' of sequences with undected barcodes,string,
dot,${tooldir}/graphviz-2.28.0/bin/dot,QCStatistics,,
externalSampleID,,(MergeBam),,"project,capturingKit,arrayFile,arrayID"
familylist,${sample}.familylist.txt,(ConcordanceCheck),,
fastqcjar,${tooldir}/fastqc-v0.7.0/fastqc,(fastqc.ftl),,
fastqExtension,.fq,,string,
fastqFilenamePE1,${filenamePrefix}${filenamePartSeperator}${filenameSuffixPE1}${fastqExtension},,,
fastqFilenamePE2,${filenamePrefix}${filenamePartSeperator}${filenameSuffixPE2}${fastqExtension},,,
fastqFilenameSR,${filenamePrefix}${fastqExtension},,,
filenamePartSeperator,_,,,
filenamePrefix,${sequencingStartDate}${filenamePartSeperator}${sequencer}${filenamePartSeperator}${run}${filenamePartSeperator}${flowcell}${filenamePartSeperator}L${lane},,string,
filenameSuffixDiscardedReads,DISCARDED,,,
filenameSuffixPE1,1,,,
filenameSuffixPE2,2,,,
fileprefix,${sequencingStartDate}_${sequencer}_${run}_${flowcell}_L${lane},first part of file name,string,
fileWithIndexID,${intermediatedir}/${fileprefix}_${barcode}.${indexfileID},Just a shorthand in this parameters file,,
filterSingleSampleCallsperl,${tooldir}/scripts/filterSingleSampleCalls.pl,,,
finalreport,${sample}.finalreport.txt,(ConcordanceCheck),,
fixmateinformationjar,${picard}/FixMateInformation.jar,,,
flowcell,,,,"run,runJobsDir,runIntermediateDir"
fq_barcode,${runIntermediateDir}/${fileprefix}_${barcode}${fq_extension},use these in case of demultiplexed files,string,
fq_barcode_1,${runIntermediateDir}/${fileprefix}_${barcode}_1${fq_extension},use these in case of demultiplexed files,string,
fq_barcode_2,${runIntermediateDir}/${fileprefix}_${barcode}_2${fq_extension},use these in case of demultiplexed files,string,
fq_discarded,${runIntermediateDir}/${fileprefix}_DISCARDED${fq_extension},use these in case of demultiplexed files,string,
fq_discarded_1,${runIntermediateDir}/${fileprefix}_DISCARDED_1${fq_extension},use these in case of demultiplexed files,string,
fq_discarded_2,${runIntermediateDir}/${fileprefix}_DISCARDED_2${fq_extension},use these in case of demultiplexed files,string,
fq_extension,.fq,,string,
fq_gz,${allRawNgsDataDir}/${runPrefix}/${fileprefix}${fq_extension}${gz_extension},use these in case of demultiplexed files,string,
fq_gz_1,${allRawNgsDataDir}/${runPrefix}/${fileprefix}_1${fq_extension}${gz_extension},use these in case of demultiplexed files,string,
fq_gz_2,${allRawNgsDataDir}/${runPrefix}/${fileprefix}_2${fq_extension}${gz_extension},use these in case of demultiplexed files,string,
fq_gz_barcode,${runIntermediateDir}/${fileprefix}_${barcode}${fq_extension}${gz_extension},use these in case of demultiplexed files,string,
fq_gz_barcode_1,${runIntermediateDir}/${fileprefix}_${barcode}_1${fq_extension}${gz_extension},use these in case of demultiplexed files,string,
fq_gz_barcode_2,${runIntermediateDir}/${fileprefix}_${barcode}_2${fq_extension}${gz_extension},use these in case of demultiplexed files,string,
fq_gz_discarded,${runIntermediateDir}/${fileprefix}_DISCARDED${fq_extension}${gz_extension},use these in case of demultiplexed files,string,
fq_gz_discarded_1,${runIntermediateDir}/${fileprefix}_DISCARDED_1${fq_extension}${gz_extension},use these in case of demultiplexed files,string,
fq_gz_discarded_2,${runIntermediateDir}/${fileprefix}_DISCARDED_2${fq_extension}${gz_extension},use these in case of demultiplexed files,string,
gaffig,${getstatisticsscriptpath}/GAFpipeline.png,QCStatistics,,
gafhome,/target/gpfs2/gaf,gaf home dir,string,
gafscripts,${gaftools}/scripts,,string,
gaftools,${gafhome}/tools,,string,
gcbiasmetrics,${fileWithIndexID}.gcbiasmetrics,,,
gcbiasmetricsjar,${picard}/CollectGcBiasMetrics.jar,,,
gcbiasmetricspdf,${gcbiasmetrics}.pdf,,,
gccfig,${getstatisticsscriptpath}/Agilent_experiment.png,QCStatistics,,
genome,hg19,,,
genomeAnalysisTKjar,${tooldir}/GATK-1.0.5069/Sting/dist/GenomeAnalysisTK.jar,,,
genomeAnalysisTKjar1411,${tooldir}/GATK-1.4-11-g845c0b1/dist/GenomeAnalysisTK.jar,,,
getDedupInfoScript,${scriptdir}/getDedupInfo_23mar2012/getDedupInfo.sh,,,
getStatisticsScript,${getstatisticsscriptpath}/getStatistics.sh,QCStatistics,,
getstatisticsscriptpath,${tooldir}/getStatistics_23jan2012,QCStatistics,,
gz_extension,.gz,,string,
gzipExtension,.gz,,string,
hsmetrics,${fileWithIndexID}.hsmetrics,,,
hsmetricsjar,${picard}/CalculateHsMetrics.jar,,,
impacttableout,${snpstatsprefix}.impact.tex,QCReport,,
importscript,${scriptdir}/import.sh,,,
indelsbed,${sample}.indels.bed,,,
indelsfilteredbed,${sample}.indels.filtered.bed,,,
indelsmaskbed,${sample}.indels.mask.bed,(MakeIndelsMask),,
indelsvcf,${sample}.indels.vcf,,,
indelsverboseoutput,${sample}.indels.verboseoutput.txt,,,
indexfile,${resdir}/${genome}/indices/${indexfileIDtest}.fa,,,
indexfileID,human_g1k_v37,,,
indexfileIDtest,human_g1k_v37,Append .chr1 if you want to test only on chr 1,,
insertsizemetrics,${fileWithIndexID}.insertsizemetrics,,,
insertsizemetricsjar,${picard}/CollectInsertSizeMetrics.jar,,,
insertsizemetricspdf,${insertsizemetrics}.pdf,,,
insilicorun,run03,increment each time you repeat in silico analysis,string,
intermediatedir,${projectdir}/intermediate/,store intermediate results here; empty at end of project,,
intervallistdir,${resdir}/${genome}/intervals,,,
jobname,jobname,,string,
lane,,,,"flowcell,seqType"
leftbarcode,${projectrawdatadir}/${fileprefix}_${barcode}_1,use these in case of demultiplexed files,,
leftbarcodefq,${leftbarcode}.fq,,,
leftbarcodefqgz,${leftbarcodefq}.gz,"gziped file, in project raw data dir",,
leftbwaout,${leftfile}.bwa_align.${indexfileID}.sai,(bwa_align),,
leftfastqcsummarylog,${leftfile}_fastqcsummary.log,(fastqc.ftl),,
leftfastqcsummarytxt,${leftfile}_fastqcsummary.txt,(fastqc.ftl),,
leftfastqczip,${leftfile}_fastqc.zip,(fastqc.ftl),,
leftfile,${intermediatedir}/${fileprefix}_${barcode}_1,,,
leftinputfile,${rawdatadir}/${fileprefix}_1.fq.gz,fastq file with left read of sequence,string,
leftinputfileSR,${demultiplexinfodir}/${fileprefix}_SingleRead_1.fq.gz,use as hack to simulate paired end data,,
library,${fileprefix},,,
logfile,${demultiplexinfodir}/${fileprefix}.log.txt,log file with statistics on demultiplexing process,string,
makeIndelMaskpyton,${tooldir}/scripts/makeIndelMask.py,,,
markduplicatesjar,${picard}/MarkDuplicates.jar,,,
matefixedbam,${fileWithIndexID}.matefixed.bam,,,
matefixedbamindex,${matefixedbam}.bai,,,
matefixedcovariatecsv,${fileWithIndexID}.matefixed.covariates.table.csv,,,
md5sum_extension,.md5,,string,
md5sumExtension,.md5,,string,
meanqualitybycycle,${fileWithIndexID}.meanqualitybycycle,,,
meanqualitybycyclejar,${picard}/MeanQualityByCycle.jar,,,
meanqualitybycyclepdf,${fileWithIndexID}.meanqualitybycycle.pdf,,,
mem,4,Memory in GB,,
mergedbam,${intermediatedir}/${externalSampleID}.${indexfileID}.merged.bam,(MergeBam),,externalSampleID
mergedbamindex,${mergedbam}.bai,(MergeBam),,mergedbam
mergesamfilesjar,${picard}/MergeSamFiles.jar,(MergeBam),,
molgenisComputeDir,${tooldir}/molgenis_compute/,Where you have MOLGENIS/compute the commandline script generator installed,string,
outputleftright,"${leftbarcodefq},${rightbarcodefq}","file locations for both ends where we save demultiplexed reads, given respecive project folder and barcode",string,
parametersFile,${molgenisComputeDir}/workflows/in-house_parameters.csv,,string,
picard,${tooldir}/picard-tools-1.61,,,
pilot1KgVcf,${resdir}/${genome}/indels/1kg_pilot_release_merged_indels_sites_${genome}_${indexfileID}.vcf,,,
project,,,,contact
projectdir,${datadir}/projects/${project}/${insilicorun},project folder for this insilico run,,
projectJobsDir,${projectdir}/jobs/,Project specific job scripts directory,string,
projectLogsDir,${projectdir}/logs/,Project specific log directory,string,
projectrawarraydatadir,${projectdir}/rawdata/array/,"Contains project specific rawdata (i.e., Genome Studio files)",string,
projectrawdatadir,${projectdir}/rawdata/ngs/,project specific rawdata directory for (demultiplexed) reads,string,
projectResultsDir,${projectdir}/results/,Store final results here; a sub set of the primary outputs that we want to keep/archive are moved to this dir; afterwards the remaining files from the intermediate dir will be lost when we clean up.,string,
protocoldir,${molgenisComputeDir}/protocols/,,string,
qcbaitset,${qcdir}/projectbaitset.txt,QCStatistics,,
qcdedupmetricsout,${qcdir}/dedupmetrics.txt,QCStatistics,,
qcdir,${projectdir}/qc,QCStatistics,,
qcstatisticscolnames,${getstatisticsscriptpath}/NiceColumnNames.csv,QCStatistics,,
qcstatisticscsv,${qcdir}/${project}_QCStatistics.csv,QCStatistics,,
qcstatisticsdescription,${qcdir}/${project}_qcstatisticsdescription.tex,QCStatistics,,
qcstatisticstex,${qcdir}/${project}_qcstatisticstable.tex,QCStatistics,,
qcstatisticstexreport,${qcdir}/${project}_QCReport.tex,QCStatistics,,
qualityscoredistribution,${fileWithIndexID}.qualityscoredistribution,,,
qualityscoredistributionjar,${picard}/QualityScoreDistribution.jar,,,
qualityscoredistributionpdf,${fileWithIndexID}.qualityscoredistribution.pdf,,,
R,${R_HOME}/bin/R,,,
R_HOME,${tooldir}/R-2.14.2/,,,
R_LIBS,${tooldir}/GATK-1.3-24-gc8b1c92/gsalib/,,,
rawdatadir,${allRawNgsDataDir}/${runPrefix},"contains rawdata (i.e., *.fq files)",string,
realignedbam,${fileWithIndexID}.realigned.bam,,,
realignTargets,${fileWithIndexID}.realign.target.intervals,,,
recalbam,${fileWithIndexID}.recal.bam,(samsortrecal),,
recalstatsafterdir,${intermediatedir}/${fileprefix}_${barcode}.recal.stats.after,,,
recalstatsbeforedir,${intermediatedir}/${fileprefix}_${barcode}.recal.stats.before,,,
resdir,${root}/resources,,,
rightbarcode,${projectrawdatadir}/${fileprefix}_${barcode}_2,idem,,
rightbarcodefq,${rightbarcode}.fq,,,
rightbarcodefqgz,${rightbarcodefq}.gz,,,
rightbwaout,${rightfile}.bwa_align.${indexfileID}.sai,(bwa_align),,
rightfastqcsummarylog,${rightfile}_fastqcsummary.log,(fastqc.ftl),,
rightfastqcsummarytxt,${rightfile}_fastqcsummary.txt,(fastqc.ftl),,
rightfastqczip,${rightfile}_fastqc.zip,(fastqc.ftl),,
rightfile,${intermediatedir}/${fileprefix}_${barcode}_2,,,
rightinputfile,${rawdatadir}/${fileprefix}_2.fq.gz,fastq file with right read of sequence,string,
rightinputfileSR,${demultiplexinfodir}/${fileprefix}_SingleRead_2.fq.gz,use as hack to simulate paired end data,,
root,/target/gpfs2/gcc,the root to your tools and data,string,
rscript,${R_HOME}/bin/Rscript,,,
run,,,,"sequencer,sequencingStartDate,runJobsDir,runIntermediateDir"
runIntermediateDir,${allRunDemultiplexDir}/${runPrefix}/intermediate/,Store demultiplexed results here,string,
runJobsDir,${allRunDemultiplexDir}/${runPrefix}/jobs/,Run specific job scripts directory,string,
runPrefix,${sequencingStartDate}_${sequencer}_${run}_${flowcell},,string,
runtimelog,${projectdir}/${fileprefix}.runtime.log,,,
runtimelogdemultiplex,${demultiplexinfodir}/${fileprefix}.runtime.log,,,
samfile,${fileWithIndexID}.sam,(bwa_sampe),,
sample,${intermediatedir}/${externalSampleID},(PicardQCRecal),,
samplealignmentmetrics,${sample}.alignmentmetrics,(PicardQCRecal),,
samplebamindexstats,${sample}.bamindexstats.pdf,(PicardQCRecal),,
sampleconcordancefile,${sample}.concordance.ngsVSarray.txt,(ConcordanceCheck),,
samplecoverageplotpdf,${sample}.coverageplot.pdf,(Coverage),,
samplegcbiasmetrics,${sample}.gcbiasmetrics,(PicardQCRecal),,
samplegcbiasmetricspdf,${samplegcbiasmetrics}.pdf,(PicardQCRecal),,
samplehsmetrics,${sample}.hsmetrics,(PicardQCRecal),,
sampleinsertsizemetrics,${sample}.insertsizemetrics,(PicardQCRecal),,
sampleinsertsizemetricspdf,${sampleinsertsizemetrics}.pdf,(PicardQCRecal),,
samplemeanqualitybycycle,${sample}.meanqualitybycycle,(PicardQCRecal),,
samplemeanqualitybycyclepdf,${samplemeanqualitybycycle}.pdf,(PicardQCRecal),,
samplequalityscoredistribution,${sample}.qualityscoredistribution,(PicardQCRecal),,
samplequalityscoredistributionpdf,${samplequalityscoredistribution}.pdf,(PicardQCRecal),,
samtobamjar,${picard}/SamFormatConverter.jar,,,
scriptdir,${tooldir}/scripts,,,
seqType,,,,
sequencer,,,,
sequencingStartDate,,,,
snpannotationstatspl,${tooldir}/scripts/snp_annotation_stats.pl,(VcfToTable),,
snpeffconfig,${tooldir}/snpEff_2_0_5/snpEff.config,(VariantAnnotator),,
snpeffintermediate,${sample}.snps.intermediate.snpEff.vcf,(VariantAnnotator),,
snpeffjar,${tooldir}/snpEff_2_0_5/snpEff.jar,(VariantAnnotator),,
snpeffsummaryhtml,${sample}.snps.final.snpEff_summary.html,(VariantAnnotator),,
snpsfinal,${sample}.snps.final,(VariantAnnotator),,
snpsfinalvcf,${snpsfinal}.vcf,(VariantAnnotator),,
snpsfinalvcftable,${snpsfinalvcf}.table,(VcfToTable),,
snpsfinalvcftableclass,${snpsfinal}.class.txt,(VcfToTable),,
snpsfinalvcftableimpact,${snpsfinal}.impact.txt,(VcfToTable),,
snpsfinalvcftabletype,${snpsfinal}.type.txt,(VcfToTable),,
snpsgenomicannotatedfilteredvcf,${sample}.snps.variant.genomic.annotated.filtered.vcf,(VariantFiltration),,
snpsgenomicannotatedvcf,${sample}.snps.genomic.annotated.vcf,(GenomicAnnotator),,
snpstatsprefix,${intermediatedir}/${project}.snps.final,,,
snpsvariantannotatedvcf,${sample}.snps.variant.annotated.vcf,,,
snpsvcf,${sample}.snps.vcf,,,
sortedbam,${fileWithIndexID}.sorted.bam,,,
sortedbamindex,${fileWithIndexID}.sorted.bam.bai,,,
sortedrecalbam,${fileWithIndexID}.recal.sorted.bam,(samsortrecal),,
sortedrecalbamindex,${sortedrecalbam}.bai,(samsortrecal),,
sortedrecalcovariatecsv,${fileWithIndexID}.recal.covariate.table.csv,,,
sortsamjar,${picard}/SortSam.jar,,,
srbarcodefq,${projectrawdatadir}/${fileprefix}_${barcode}.fq,,,
srbarcodefqgz,${srbarcodefq}.gz,,,
srinputfile,${rawdatadir}/${fileprefix}.fq.gz,use for single read,,
targetintervals,${intervallistdir}/${capturingKit}_exons_${genome}_${indexfileIDtest}.interval_list,,,
tempdir,/target/gpfs2/gcc/tmp,,,
tooldir,${root}/tools,root dir for tools,string,
typetableout,${snpstatsprefix}.type.tex,QCReport,,
vcf2tablepy,${tooldir}/GATK-1.0.5069/Sting/python/vcf2table.py,(VcfToTable),,
walltime,23:59:00,,,
workflowFile,${molgenisComputeDir}/workflows/in-house_workflow_realignmentAndSnpCalling.csv,,string,
workflowpng,${qcdir}/${project}_workflow.png,QCStatistics,,
worksheet,/target/gpfs2/gcc/tools/MolgenisCompute/outputscriptsdir/demultRucphen/worksheet_rucphen.csv,,string,
